H0,err+,err-,year
73,3,3,2004.5
56,23,23,2004.518
49,6,11,2004.52
72,7,7,2004.55
67,15,6,2004.584
78,6,6,2004.68
64,9,7,2004.7
70,7,7,2004.91
76,6,6,2004.92
73,5,5,2005.58
74,2,2,2005.6
60,7,7,2005.9
77,10,8,2005.95
63,5,5,2005.97
73,3,3,2006.218
72,6,6,2006.2
62,5,5,2006.228
74,5,5,2006.25
71,2,2,2006.267
70,2,2,2006.39
74,4,4,2006.45
72,6,6,2006.5
76,10,8,2006.6
56,7,9,2006.664
68,8,8,2006.739
74,6,6,2006.75
63,5,5,2006.8
77,5,5,2006.853
74,4,4,2006.917
74,6,6,2006.93
49,6,11,2007.13
52,4,3,2007.72
76,8,8,2007.364
73,8,8,2007.591
71,4,4,2007.708
77,7,7,2007.903
61,9,8,2007.949
70,1,1,2008.175
71,1,2,2008.177
52,4,4,2008.833
62,8,4,2009.18
74,4,4,2009.45
64,5,5,2009.355
76,25,24,2009.36
72,1,1,2009.551
63,2,2,2010.277
73,4,4,2010.281
62,6,4,2010.689
