"신고항목별(1)",신고항목별(2),2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"신고항목별(1)",신고항목별(2),연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%
"신고항목별(1)",신고항목별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"근로소득공제",소계,11868591,107626419,1190303,17855356,12567609,115040100,1262974,19259402,13292795,123488559,1337377,20735788,13956715,131411236,1403562,21942535,14248434,121600195,1428029,20912126,15137375,129680800,1512934,22552009,15474024,138698549,1548255,23452272,15709043,146985676,1570431,24040241,16287199,154305291,1628921,25137524,16620904,142520539,1661028,23848937,17253850,149479356,1725426,24963795,17659506,155997118,1766091,25720964,17918773,161905671,1794322,26393540,18495748,170568083,1852791,27417089,19071534,178745618,1913560,28411399,19407594,183035547,1946624,29086706
"근로소득금액",소계,9521602,159760765,1190303,65587631,10093341,178587640,1262974,75457012,10748667,201320786,1337377,86388251,11381569,221226867,1404443,94734262,14250112,239866262,1429402,98177204,15142639,266608547,1517665,112148924,15480508,294568100,1553996,122141216,15716148,319699296,1576793,128784955,16295073,343723000,1635960,137657671,16629769,386139530,1668695,146508253,17263158,413030236,1733327,157083913,17668285,439993543,1774004,165612010,17924798,471706004,1800547,176377698,18500635,506920533,1857784,186459494,19073835,538785398,1916715,194755986,19410049,563281287,1949518,204560418
"소득공제",소계,-,76240969,-,18508281,10093304,83121443,1262967,23406275,10748667,89288578,1337377,26153566,11380525,103178953,1403528,29966739,14248601,118548097,1428029,33139920,15137598,121951157,1512934,33833902,15474516,132727695,1548255,36668846,15709506,140474342,1570432,37587291,16287642,146493825,1628921,38894990,16621624,108500001,1661028,25244226,17324963,115549539,1725438,26418661,17659863,119202171,1766091,27753388,17918226,124908085,1794322,28683550,18495294,132089583,1852791,29884180,19070498,140106277,1913560,31696697,19407005,153869728,1946624,33386368
"인적공제",소계,-,32305862,-,5803956,10091936,34238604,1262174,7036983,10747161,32813807,1336489,7681844,11379701,35193731,1403352,8212502,14246969,46995515,1427915,10083710,15136567,48766566,1512856,10604663,15473811,52096976,1548194,11238862,15708479,53820989,1570342,11272346,16286961,54982506,1628852,11406412,16621624,50591325,1661028,10210801,17324963,54061823,1725438,10580578,17659863,52568172,1766091,10742304,17918226,53013604,1794322,10780669,18495294,54191007,1852791,10986550,19070498,55146874,1913560,11183236,19407005,55338482,1946624,11119035
"인적공제",기본공제,9519934,21592386,1189424,4087597,10091554,22527704,1262170,4783173,10747145,23813535,1336489,5034015,11379683,25018448,1403352,5276912,14246964,38730574,1427915,7789208,15136564,40072843,1512856,8136025,15473805,41618478,1548194,8263608,15708476,42886856,1570342,8252751,16286958,43781282,1628852,8333239,16621624,44729728,1661028,8383931,17324963,47855837,1725438,8638302,17659863,46416061,1766091,8726006,17918226,46670435,1794322,8715064,18495294,47570220,1852791,8837686,19070498,48283443,1913560,8957449,19407005,48387351,1946624,8886086
"인적공제",추가공제,3659803,6441374,706070,1441408,3904628,7030039,848125,2036431,4260044,7722130,907852,2254736,4593860,8851856,959801,2528672,4346354,6983841,908690,1896046,4607880,7391316,965499,2062859,4915956,7836373,1001605,2165180,5231940,8259443,1028337,2226856,5485355,8508979,1065962,2286319,4153077,5861597,828474,1826870,4338393,6205987,869854,1942276,4217026,6152111,896173,2016298,4315830,6343168,913301,2065605,4473632,6620787,940486,2148864,4635990,6863431,971725,2225787,4682101,6951131,977160,2232950
"인적공제",소수공제 추가공제,5152292,4272102,373213,274951,5599440,4680861,308526,217379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인적공제",다자녀 추가공제,-,-,-,-,-,-,-,-,2061939,1278142,623123,393093,2132149,1323427,643069,406918,2065701,1281099,629271,398456,2092730,1302407,642768,405779,2130296,2642125,640306,810075,2146811,2674690,625693,792739,2153446,2692244,620700,786854,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국민연금보험료",소계,-,-,-,-,-,-,-,-,7139347,7431480,858376,1651212,8046419,8616588,990455,1918260,8465521,8930288,1016279,1959922,9116887,9605597,1144259,2221763,9747467,10470842,1162746,2304117,10328361,11462673,1185058,2408873,10806586,12383623,1227756,2571430,11689467,13461253,1265085,2710440,12151446,14224040,1297356,2855052,12514291,15155183,1321390,2998711,12703416,16105022,1336992,3149659,13185966,17207098,1388912,3398012,13586077,18411637,1433585,3645096,13638201,19392125,1456757,3844026
"연금보험료 공제",소계,7197450,9001508,1111586,2359111,7826427,9894323,1187586,2603013,1885613,3556780,401900,1137806,1538578,3166546,332226,1021805,1489198,3134844,324268,1019722,1419967,3625872,276921,1050884,1427445,4019164,284602,1184232,1437227,4376190,283329,1285337,1438058,4605112,289885,1376535,1460363,4822616,287658,1421239,1480610,5085238,312327,1587277,1516135,6025482,332408,1952842,1540573,6602710,337917,2133129,1589030,7133372,338463,2261513,1636161,7642159,346497,2414851,1669178,8123051,348322,2525608
"연금계좌소득공제",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2445045,6490169,1005439,3155979,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",퇴직연금소득(보험료)공제,410,442,53,71,3027,4367,476,977,7089,10317,1069,2032,11943,18866,2296,4634,15844,24521,4023,7582,19409,32550,8585,16301,25489,50593,11760,27958,83691,76052,36426,44723,60370,102089,27117,62889,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",연금저축소득공제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2405030,6388080,990473,3093090,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
